IPA	word
/aeɾoˈsol/	aerosol
/ˈæ.dəˌniːn/	adenine
/ad.mi.nisˈtraː.tor/	administrator
/æbˈstiː.mɪ.əs/	abstemious
/əˈbɹɪd͡ʒ/	abridge
/ˈɑɹd.vɑɹk/	aardvark
/əˈkwaɪəd/	acquired
/ˈɛəɹ.əˌfɔɪl/	aerofoil
/əkˈsiːd/	accede
/a.dɔp.sjɔ̃/	adoptions
/abˈdo.men/	abdomen
/ˈeɪ.kɚ/	acre
/ækˈnɑː.lɪdʒ/	acknowledge
/əˈfɛkʃəneɪt/	affectionate
/ædz/	adze
/ˈæb.ɪs/	abbess
/ˈa.blə/	able
/əˈdæpˌtɪv/	adaptive
/ˈæk.ə.ˌleɪd/	accolade
/æ.kwɪ.ˈzɪ.ʃən/	acquisition
/ǎdʋerb/	adverb
/ˌækɹəʊˈmæt.ɪk/	achromatic
/a.d͡ʒaˈsent/	adjacent
/ɑˈdɑm/	adam
/əˈbæʃ/	abash
/ˈædɹɛs/	address
/abˈstrakt/	abstract
[ˈadvɛnt]	advent
/ədˈvɑːnsɪŋ/	advancing
/əˈkɹuːəl/	accrual
/əˈbju.sɪv.li/	abusively
/ˈæb.ɹəʊ.ɡeɪt/	abrogate
/əˈkʌmpənid/	accompanied
/əˈbɪl.ə.ti/	ability
/æd.ˈmaɪ.ɚ.ɪŋ/	admiring
/əˈbleɪ.ʃn̩/	ablation
/ˈa.bɨ/	aby
/əˈfɛktɪv/	affective
/ˈæd.mə.ɹəl/	admiral
/æbˈstɹækt.li/	abstractly
/ˌæb.əˈɹeɪ.ʃn̩/	aberration
/ˈak(t)wəl/	actual
/ˈæ.kə.naɪt/	aconite
/ə.ˈkʌm.pə.ni.mənt/	accompaniment
/ˈæk.sə.dəns/	accidence
/aˈfaɾ/	afar
/əkˈsen.tʃu.eɪt/	accentuate
/æbˈsɔɹb.ɪŋ.li/	absorbingly
/ə.ˈkju.zə.ˌtɔɹ.i/	accusatory
/æbˈdʒʊɹ/	abjure
[is]	ace
/əˈdɪʃənz/	additions
/əps.tiˈnen/	abstinent
/æbˈhɔɹ.ənt/	abhorrent
/æb.sɔɹ.bn̩.si/	absorbency
/aˈfeɾ/	affair
/ˌɑk.siˈdɛnt/	accident
/əˑˈkju.zɚ/	accuser
/a.dap.tabl/	adaptable
/ɛsˈθɛ.tɪk/	aesthetic
/ədˈmaɪɹd/	admired
/ˈæb.əˌtwɑɹ/	abattoir
/əˈkɹɒstɪk/	acrostic
/ə.bu.miˈna.blə/	abominable
/æbˈstɹus.li/	abstrusely
/əˈfɛkʃənət/	affectionate
/əˈkɹɛd.ɪt.əd/	accredited
/ˈæk.tɪv/	active
/ˌæ.kəˈdiː.mɪ.ə/	academia
/aˈdoː.reːs/	adores
/ak.ti.va.sjɔ̃/	activation
/absoˈlute/	absolute
/ə.ˈkɔɹ.dɪŋ.li/	accordingly
